0.321;0.478;0.867;0.000
0.320;0.465;0.889;0.000
0.319;0.456;0.900;0.000
0.318;0.452;0.889;0.000
0.319;0.461;0.900;0.000
0.318;0.442;0.900;0.000
0.320;0.446;0.911;0.000
0.323;0.488;0.822;0.000
0.323;0.539;0.633;0.000
0.322;0.611;0.489;0.000
0.321;0.641;0.422;0.000
0.318;0.648;0.456;0.000
0.314;0.688;0.389;0.000
0.311;0.692;0.322;0.000
0.309;0.696;0.333;0.000
0.308;0.681;0.389;0.000
0.308;0.652;0.467;0.000
0.310;0.595;0.611;0.000
0.312;0.558;0.711;0.000
0.314;0.527;0.778;0.000
0.316;0.510;0.833;0.000
0.317;0.497;0.878;0.000
0.315;0.480;0.900;0.000
0.317;0.467;0.922;0.000
0.317;0.457;0.933;0.000
0.316;0.448;0.944;0.000
0.314;0.440;0.944;0.000
0.313;0.431;0.944;0.000
0.315;0.427;0.944;0.000
0.314;0.433;0.922;0.000
0.316;0.431;0.911;0.000
0.321;0.461;0.878;0.000
0.322;0.495;0.833;0.000
0.323;0.558;0.722;0.000
0.323;0.601;0.600;0.000
0.321;0.626;0.544;0.000
0.318;0.641;0.522;0.000
0.316;0.652;0.478;0.000
0.315;0.652;0.467;0.000
0.314;0.648;0.489;0.000
0.315;0.622;0.567;0.000
0.320;0.575;0.700;0.000
0.324;0.548;0.767;0.000
0.327;0.535;0.811;0.000
0.329;0.509;0.867;0.000
0.330;0.495;0.889;0.000
0.329;0.480;0.922;0.000
0.329;0.469;0.933;0.000
0.327;0.461;0.944;0.000
0.326;0.446;0.944;0.000
0.326;0.440;0.956;0.000
0.327;0.439;0.956;0.000
0.327;0.442;0.967;0.000
0.327;0.437;0.967;0.000
0.332;0.448;0.978;0.000
0.335;0.456;0.978;0.000
0.339;0.465;0.956;0.000
0.340;0.493;0.878;0.000
0.341;0.505;0.889;0.000
0.340;0.548;0.744;0.000
0.337;0.571;0.722;0.000
0.335;0.616;0.600;0.000
0.334;0.631;0.533;0.000
0.333;0.622;0.589;0.000
0.335;0.599;0.633;0.000
0.338;0.548;0.767;0.000
0.341;0.533;0.789;0.000
0.343;0.510;0.844;0.000
0.346;0.490;0.889;0.000
0.349;0.474;0.911;0.000
0.352;0.471;0.933;0.000
0.355;0.454;0.944;0.000
0.355;0.457;0.933;0.000
0.355;0.450;0.933;0.000
0.355;0.437;0.944;0.000
0.357;0.442;0.956;0.000
0.360;0.433;0.967;0.000
0.363;0.427;0.944;0.000
0.371;0.431;0.967;0.000
0.375;0.446;0.944;0.000
0.377;0.482;0.867;0.000
0.380;0.518;0.822;0.000
0.380;0.565;0.700;0.000
0.380;0.588;0.622;0.000
0.381;0.575;0.656;0.000
0.380;0.595;0.511;0.000
0.377;0.592;0.500;0.000
0.377;0.578;0.522;0.000
0.376;0.556;0.578;0.000
0.377;0.510;0.733;0.000
0.380;0.482;0.800;0.000
0.380;0.480;0.822;0.000
0.383;0.484;0.833;0.000
0.380;0.497;0.800;0.000
0.380;0.478;0.833;0.000
0.378;0.476;0.844;0.000
0.375;0.473;0.856;0.000
0.375;0.467;0.867;0.000
0.373;0.454;0.911;0.000
0.373;0.456;0.867;0.000
0.375;0.450;0.856;0.000
0.375;0.452;0.844;0.000
0.374;0.448;0.856;0.000
0.377;0.459;0.811;0.000
0.380;0.476;0.711;0.000
0.382;0.509;0.611;0.000
0.380;0.529;0.522;0.000
0.375;0.567;0.378;0.000
0.374;0.561;0.289;0.000
0.372;0.567;0.311;0.000
0.372;0.550;0.378;0.000
0.369;0.548;0.344;0.000
0.366;0.526;0.456;0.000
0.368;0.486;0.556;0.000
0.369;0.482;0.556;0.000
0.369;0.469;0.600;0.000
0.368;0.471;0.567;0.000
0.367;0.452;0.622;0.000
0.366;0.444;0.644;0.000
0.365;0.410;0.733;0.000
0.364;0.380;0.822;0.000
0.362;0.369;0.844;0.000
0.360;0.363;0.856;0.000
0.360;0.353;0.889;0.000
0.360;0.355;0.900;0.000
0.360;0.350;0.878;0.000
0.362;0.346;0.889;0.000
0.365;0.388;0.833;0.000
0.368;0.408;0.744;0.000
0.372;0.440;0.678;0.000
0.372;0.478;0.622;0.000
0.372;0.524;0.478;0.000
